도서관명,구/군,이미지경로,이미지경로2,출처URL,공공누리 유형,출처
송정동어린이작은도서관,해운대구,,,,,
우2동어린이작은도서관,해운대구,,,,,
작은인문학도서관,해운대구,,,,,
재송어린이도서관,해운대구,,,,,
반여도서관,해운대구,http://tong.visitkorea.or.kr/cms/resource/30/3081430_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/25/3081425_image2_1.JPG,,제3유형 ,출처 : ⓒ한국관광콘텐츠랩
해운대인문학도서관,해운대구,,,,,
하단도서관,사하구,,,,,
장림 무지개 작은도서관,사하구,,,,,
구평예들작은도서관,사하구,,,,,
수풀작은도서관,사하구,,,,,
낫개작은도서관,사하구,,,,,
두송작은도서관,사하구,,,,,
꿈꾸는작은도서관,사하구,,,,,
동매누리작은도서관,사하구,,,,,
노을나루길작은도서관,사하구,,,,,
당리작은도서관,사하구,,,,,
마하골길벗작은도서관,사하구,,,,,
오작교작은도서관,사하구,,,,,
까치마을작은도서관,사하구,,,,,
회화나무작은도서관,사하구,,,,,
다대도서관,사하구,,,,,
감천횃불작은도서관,사하구,,,,,
푸른누리작은도서관,사하구,,,,,
솔밭도서관,북구,,,,,
상학도서관,북구,,,,,
금곡도서관,북구,,,,,
화명도서관,북구,,,,,
만덕도서관,북구,,,,,
덕천도서관,북구,,,,,
홀리조이 작은도서관,영도구,,,,,
꿈나무 작은도서관,영도구,,,,,
영도센트럴에일린의 뜰 작은도서관,영도구,,,,,
리빙스턴 작은도서관,영도구,,,,,
스케치북작은도서관,영도구,,,,,
다문화 작은도서관 모두,영도구,,,,,
영도자원순환센터 작은도서관,영도구,,,,,
영도구청 도서자료관,영도구,,,,,
한울마당 작은도서관,영도구,,,,,
아랫서발작은도서관,영도구,,,,,
어울림마당 작은도서관,영도구,,,,,
해돋이 작은도서관,영도구,,,,,
찬새미 작은도서관,영도구,,,,,
담쟁이 작은도서관,영도구,,,,,
도래샘 작은도서관,영도구,,,,,
풀잎 작은도서관,영도구,,,,,
영선나릿 작은도서관,영도구,,,,,
남항 작은도서관,영도구,,,,,
영도도서관 남항분관,영도구,,,,,
영도도서관,영도구,http://tong.visitkorea.or.kr/cms/resource/44/3032044_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/52/3032052_image2_1.JPG,,제3유형,출처 : ⓒ한국관광콘텐츠랩
산리작은도서관,중구,,,,,
닑다작은도서관,중구,,,,,
보수동책방골목어린이도서관,중구,https://tong.visitkorea.or.kr/cms/resource/32/4055732_image2_1.png,,,제1유형,출처 : ⓒ한국관광콘텐츠랩
고맙습니다.글마루작은도서관,중구,,,,,
부산광역시립명장도서관,동래구,http://tong.visitkorea.or.kr/cms/resource/28/3476728_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/3476734_image2_1.jpg,,제3유형,출처 : ⓒ한국관광콘텐츠랩
부산광역시립연산도서관,연제구,http://tong.visitkorea.or.kr/cms/resource/05/3343405_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/3343402_image2_1.jpg,,제3유형,출처 : ⓒ한국관광콘텐츠랩
부산광역시립서동도서관,금정구,https://tong.visitkorea.or.kr/cms/resource/57/1982357_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/58/1982358_image2_1.jpg,,제3유형,출처 : ⓒ한국관광콘텐츠랩
부산광역시립구덕도서관,서구,,,,,
부산광역시립반송도서관,해운대구,,,,,
부산광역시립부전도서관,부산진구,https://tong.visitkorea.or.kr/cms/resource/52/1571952_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/48/1571948_image2_1.jpg,,제3유형,출처 : ⓒ한국관광콘텐츠랩
부산광역시립사하도서관,사하구,http://tong.visitkorea.or.kr/cms/resource/09/3541509_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/3541514_image2_1.jpg,,제3유형,출처 : ⓒ한국관광콘텐츠랩
부산광역시립해운대도서관 우동분관,해운대구,https://tong.visitkorea.or.kr/cms/resource/67/1859067_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/71/1859071_image2_1.jpg,,제3유형,출처 : ⓒ한국관광콘텐츠랩
부산광역시립해운대도서관,해운대구,https://tong.visitkorea.or.kr/cms/resource/67/1859067_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/71/1859071_image2_1.jpg,,제3유형,출처 : ⓒ한국관광콘텐츠랩
부산영어도서관,부산진구,,,,,
부산광역시립구포도서관,북구,,,,,
부산광역시립중앙도서관 수정분관,동구,http://tong.visitkorea.or.kr/cms/resource/29/3049829_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/27/3049827_image2_1.JPG,,제3유형,출처 : ⓒ한국관광콘텐츠랩
부산광역시립중앙도서관,중구,http://tong.visitkorea.or.kr/cms/resource/31/3049831_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/41/3049841_image2_1.JPG,,제3유형,출처 : ⓒ한국관광콘텐츠랩
부산광역시립시민도서관,부산진구,http://tong.visitkorea.or.kr/cms/resource/01/3336501_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/3336504_image2_1.jpg,,제3유형,출처 : ⓒ한국관광콘텐츠랩
전포마루작은도서관,부산진구,,,,,
꿈자람작은도서관,부산진구,,,,,
한국신발관작은도서관,부산진구,http://tong.visitkorea.or.kr/cms/resource/29/3587429_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/3587435_image2_1.jpg,,,
전포어울더울작은도서관,부산진구,,,,,
감고개공원작은도서관,부산진구,,,,,
범천작은도서관,부산진구,,,,,
행복마을작은도서관,부산진구,,,,,
사랑방마실작은도서관,부산진구,,,,,
당감1동작은도서관,부산진구,,,,,
책마루작은도서관,부산진구,https://tong.visitkorea.or.kr/cms/resource/12/3028512_image2_1.JPG,,,,
양정2동작은도서관,부산진구,,,,,
행복마루작은도서관,부산진구,,,,,
연지동작은도서관,부산진구,,,,,
부산진구당감도서관,부산진구,,,,,
부산진구기적의도서관,부산진구,,,,,
부산진구어린이청소년도서관,부산진구,,,,,
금샘도서관,금정구,,,,,
금정도서관,금정구,https://tong.visitkorea.or.kr/cms/resource/65/1982365_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/28/3070528_image2_1.JPG,,,
햇살나무 작은도서관,사상구,,,,,
학마을 작은도서관,사상구,,,,,
주례쌈지 작은도서관,사상구,,,,,
주례2동 작은도서관,사상구,,,,,
주례1동 작은도서관,사상구,,,,,
엄궁쌈지 작은도서관,사상구,,,,,
어린이&가족도서관 꿈꾸는 글나라,사상구,,,,,
샘물 작은도서관,사상구,,,,,
사상 작은도서관,사상구,,,,,
부산광역시 여성문화회관 도서정보자료실,사상구,,,,,
백양낙조전망대 작은도서관,사상구,,,,,
모라1동 작은도서관,사상구,,,,,
"덕포1동 어린이복합문화공간 그리며, 들락날락 작은도서관",사상구,,,,,
다문화 도서관,사상구,,,,,
꿈나래 작은도서관,사상구,,,,,
고맙습니다 보물섬 작은도서관,사상구,,,,,
LH감전 꿈꾸는 작은도서관,사상구,,,,,
주례열린도서관,사상구,,,,,
사상도서관,사상구,,,,,
토곡어린이작은도서관,연제구,,,,,
배산작은도서관,연제구,,,,,
밤골작은도서관,연제구,,,,,
해맞이작은도서관,연제구,,,,,
솔벗작은도서관,연제구,,,,,
연산도서관,연제구,,,,,
연제만화도서관,연제구,,,,,
연제도서관,연제구,,,,,
교리도서관,기장군,,,,,
고촌어울림도서관,기장군,,,,,
내리새라도서관,기장군,,,,,
대라다목적도서관,기장군,,,,,
정관어린이도서관,기장군,,,,,
정관도서관,기장군,,,,,
